"#Features","Adjusted R2(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
4,0.0239254897120634,"[ 0 10 11 24]",5.52602136363371,5.69188991192966,28.0114333320513,0.483477601954645,0.0759827969274199,6.87813696633718,7.03172914558669,0.878281249273477,"Neuroticism","Linear regression"
5,0.0205023566493263,"[ 0  9 11 23 24]",3.51729842994773,3.59093845551564,11.661493155651,0.35553386484169,0.0858021995393711,4.71166540621231,4.8988565332785,0.531711438812809,"Openness","Linear regression"
14,-0.178671765972873,"[ 0  4  7 12 16 21 22 23 24 25 26 28 29 30]",3.62529646463949,3.7173326732049,11.0296077020125,0.270143214195052,0.0413469636753969,4.62323487779485,4.73634396170693,0.352297210350558,"Agreeableness","Lasso Regression"
6,0.260495897480741,"[ 0  9 11 22 29 30]",3.5862616080691,3.63078431612728,10.912497208977,0.366724783124911,0.319656225682282,4.52954080273922,4.58030887568944,0.187506141208944,"Conscientiousness","Lasso Regression"
5,0.305611379646803,"[ 0 12 20 27 28]",3.62795399158946,3.71343963922886,13.6081543507614,0.54156854839043,0.351903954337016,4.5697986708111,4.73554912894243,0.383772610963015,"Extraversion","Lasso Regression"
8,0.0259486459874948,"[ 0  3  5  8 10 11 13 14]",6.43889910358836,6.62553370877221,35.9114203152078,0.368518019315534,0.129847457082162,7.59219862243432,7.81360387403079,0.342500522193813,"Neuroticism","Lasso Regression"
7,-0.013112254365405,"[ 0  3 10 17 22 25 26]",3.47337796648998,3.57668136225436,11.2446179328956,0.353695128358159,0.081444889375366,4.71551939304491,4.89210815598709,0.589384557150932,"Openness","Lasso Regression"
12,-0.132312262621392,"[ 0  9 12 14 19 21 25 26 27 28 29 30]",3.54608544093762,3.67850871093655,10.8127874899366,0.301449369139342,0.0488576993980307,4.52327618312257,4.6934362581789,0.376823632144759,"Agreeableness","Elastic Net"
13,0.170683006738579,"[ 0 11 12 14 16 17 18 19 20 22 24 26 29]",3.58416763566889,3.6346075860459,10.9379770164245,0.360439789660537,0.314431285570558,4.55194195166832,4.60949535088703,0.175155808552002,"Conscientiousness","Elastic Net"
13,0.259472277672169,"[ 0  1  2  4 10 12 14 15 18 20 22 26 27]",3.20010061242875,3.50628341058533,11.9435762715856,0.62522370665949,0.387830416208993,4.12840557836135,4.58071181340653,0.30429335358363,"Extraversion","Elastic Net"
11,-0.00243121526255408,"[ 0  5 10 15 18 19 20 21 22 25 28]",6.48643978358571,6.63185635020411,36.2571543973349,0.360032281468307,0.144592029642621,7.64537585591669,7.81585332195517,0.301766500631391,"Neuroticism","Elastic Net"
8,-0.0257801427457141,"[ 0  5 12 17 20 24 28 30]",3.47724457070817,3.57364638660718,11.2812978495734,0.350737353853197,0.0836364058138289,4.72636300880577,4.89686354196986,0.579363421906365,"Openness","Elastic Net"
13,0.477208997505894,"PC1,PC2,PC6,PC7,PC9,PC10,PC11,PC13,PC16,PC21,PC23,PC29,PC31",5.64120396610153,5.64120396610153,22.9821644200093,0.567826104604872,0.567826104604872,6.75793867834363,6.75793867834363,0.2475881492766,"Neuroticism","MARS"
18,0.591809567343669,"PC1,PC2,PC4,PC6,PC7,PC10,PC11,PC12,PC13,PC14,PC15,PC17,PC19,PC20,PC23,PC25,PC27,PC32",3.28143511626963,3.28143511626963,7.26740251991967,0.689775271181188,0.689775271181188,4.0878834892046,4.0878834892046,0.146868480371587,"Extraversion","MARS"
21,0.215850029980092,"PC1,PC2,PC3,PC6,PC7,PC8,PC11,PC12,PC14,PC15,PC16,PC17,PC19,PC20,PC23,PC24,PC26,PC28,PC30,PC31,PC32",3.77592117491044,3.77592117491044,9.7308289959091,0.435412021585666,0.435412021585666,4.94233083213204,4.94233083213204,0.221018434080121,"Openness","MARS"
16,0.166116237921878,"PC1,PC2,PC3,PC4,PC6,PC12,PC14,PC16,PC18,PC19,PC22,PC23,PC24,PC26,PC30,PC31",4.16190024395114,4.16190024395114,8.37823365684915,0.344011440498544,0.344011440498544,5.09674460342049,5.09674460342049,0.238226081623192,"Agreeableness","MARS"
21,0.156825319209146,"PC1,PC2,PC3,PC6,PC7,PC8,PC11,PC12,PC14,PC15,PC16,PC17,PC19,PC20,PC23,PC24,PC26,PC28,PC30,PC31,PC32",4.15255157724177,4.15255157724177,8.85910392681119,0.392914229830585,0.392914229830585,5.00723703224446,5.00723703224446,0.204890187298218,"Conscientiousness","MARS"
