,R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAPE(Validation),Target,Algorithm
2,0.5813825667816186,-0.92161324889539,4.346307230681624,4.74490063379415,0.6189363515642569,-1.0016804675993645,3.3606229085001234,3.6372502203713335,12.513272433530794,Extraversion,Lasso Regression
3,0.3481047995467487,-0.06012249836278573,4.732535040408084,4.8278587798382935,0.40372132463318655,-0.10429426912790185,3.4762750207111957,3.553657700334729,11.290479651177755,Openness,Lasso Regression
4,0.4557432547471242,-0.3827652565174061,7.031145556657032,7.353041542647778,0.4370445861402825,-0.44038047553896464,5.876285010659297,6.1633750209560985,30.713452639441673,Neuroticism,Lasso Regression
0,0.295130021591539,-0.180871703352963,4.5371342932898395,4.732066959722093,0.32028054464964906,-0.23007469099266986,3.522626087203444,3.667214476467541,10.746398587787976,Agreeableness,Elastic Net
1,0.3793516256501186,-0.24625476886358708,4.472328015281071,4.67470375478097,0.2715174373817944,-0.29818205089956984,3.559036855015401,3.7485469702877565,10.794337471508024,Conscientiousness,Elastic Net
2,0.5812674665166738,-0.9209238056873952,4.346914048148119,4.738804806229567,0.6213751145310868,-1.0009622975910366,3.3581532365630338,3.626867432781857,12.506296831823926,Extraversion,Elastic Net
3,0.34430931399576575,-0.05936440925915512,4.74631715052666,4.838507534296236,0.4206192509763842,-0.10350459297828674,3.48284029308709,3.551365743951166,11.340164403957013,Openness,Elastic Net
4,0.4538334468652424,-0.41320321447356045,7.043477775651737,7.413181119913906,0.449904996969484,-0.47208668174329205,5.898879705059859,6.244324034927564,31.17723589898439,Neuroticism,Elastic Net
0,0.3008846777738051,-0.04968505683020013,4.51892112544747,4.507478085316041,0.18304596791415728,-0.09342193419812528,3.555852810423969,3.5263277536401034,10.49785691429474,Agreeableness,MARS
1,0.4993147697052576,-0.12620706927389252,4.019395846227409,4.492870957748657,0.22179600675883465,-0.1731323638269715,3.0753376098177894,3.4990121033997736,9.290301667974624,Conscientiousness,MARS
2,0.6091121652203324,-0.9583112957688262,4.193268229765305,4.782754552567308,0.7578512583497415,-1.0399075997591942,3.2245157676957836,3.659338957006382,11.501211307370262,Extraversion,MARS
3,0.38307857492850594,-0.025401619599952616,4.608753058156688,4.574688299526856,0.2828018358423167,-0.06812668708328395,3.366128060188605,3.348528275164983,10.611259034762313,Openness,MARS
4,0.49829336757771364,-0.1343498476211676,6.753508328392908,7.225968191050142,0.2357761811726535,-0.1816144246053828,5.482016383254083,5.758994466301346,28.70913694614774,Neuroticism,MARS
