,R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAPE(Validation),Target,Algorithm
3,0.4752989988934225,-2.296731903638283,4.245284959564179,5.503703237056489,4.171693734279438,-3.120914879547854,3.2764987628937967,4.290301417604311,10.584108132197633,Openness,Linear Regression
4,0.5775107444041547,-0.8344416427056282,6.193928858980742,7.990327970503409,1.114301840976363,-1.293052053382035,4.975041321261509,6.4853459723254145,25.72336287476209,Neuroticism,Linear Regression
0,0.2874207707689639,-0.18871447190511462,4.561429500477861,4.756834483721614,0.3057766532719516,-0.48589308988139335,3.5857721673001044,3.747220375365833,10.9194014535755,Agreeableness,Lasso Regression
1,0.3732829637242013,-0.23846798146073275,4.494227812372305,4.62634084215856,0.33808640359925496,-0.5480849768259157,3.524166687294972,3.651986483829813,10.754400906240722,Conscientiousness,Lasso Regression
2,0.6037805505349726,-0.8620284065271892,4.228073335848546,4.596684146930087,0.6655853242075345,-1.3275355081589866,3.305442074872422,3.551448480337025,12.338825849728883,Extraversion,Lasso Regression
3,0.31052595675389066,-0.13456195184695532,4.867260550175181,4.974811767389969,0.4639860212310108,-0.4182024398086943,3.5583950332903536,3.6112504984354006,11.60122777729056,Openness,Lasso Regression
4,0.4885656526488071,-0.30925629130327037,6.814370794525539,7.248716986704692,0.442782075992626,-0.6365703641290881,5.6120520189065415,5.94006643066032,29.36024336272494,Neuroticism,Lasso Regression
0,0.2896045696194828,-0.19239662827133117,4.554296559641517,4.770313152142482,0.2954005222998599,-0.49049578533916405,3.5633741936703878,3.749624029291954,10.876322551647554,Agreeableness,Elastic Net
1,0.36512879431921463,-0.26820379773330827,4.523277853540686,4.6566465757941895,0.39457151123511214,-0.5852547471666354,3.5547813982514915,3.6797043437973027,10.86988256654966,Conscientiousness,Elastic Net
2,0.6160769970757706,-0.9055762005861897,4.15997531424434,4.594385904151968,0.7727330158357384,-1.3819702507327372,3.2571646957394975,3.538902762470691,12.131222312509255,Extraversion,Elastic Net
3,0.3066752103180798,-0.14008627353691258,4.880738744183225,4.992519608369535,0.490658792321643,-0.4251078419211407,3.5707992993549196,3.6317221412484426,11.674735559452927,Openness,Elastic Net
4,0.502766754942332,-0.3436112688131661,6.720032193180716,7.287120629334932,0.5232446129789199,-0.6795140860164575,5.535148495075857,6.002040414061593,29.506604846355028,Neuroticism,Elastic Net
0,0.28106001696857363,-0.15209755620188037,4.58189857981296,4.721880934825544,0.3136988235577294,-0.4401219452523506,3.6523421247746364,3.7767429749663903,11.256970182236676,Agreeableness,MARS
1,0.3957961234259813,-0.2049514593951,4.412089540424008,4.547623016113506,0.20735619380490253,-0.5061893242438751,3.5033427933178487,3.6592433258616666,10.845772430715899,Conscientiousness,MARS
2,0.5834303465431444,-0.8807276419734634,4.335418060125168,4.656766218863106,0.7108566553635327,-1.3509095524668293,3.403313769564948,3.61313816360126,12.705217277957237,Extraversion,MARS
3,0.36442852742951937,-0.19880429925980117,4.671219433867817,4.8680406265617,0.440143430600925,-0.4985053740747516,3.3791653538921542,3.6745004312350713,10.362148747571664,Openness,MARS
