id,timestamp,event,user_id,button_pressed,correct_answer,appCode,App,User,Size,sessionNr,x_location.down,y_location.down,touch.duration,swipe_length,swipe_length.x,swipe_length.y,button_touch_x_location,button_touch_y_location,target_touch_x_location,target_touch_y_location,time_between_touches,x_location.release,y_location.release,difference.touch_buttonCenter_x,difference.touch_buttonCenter_y,touchAccuracy,touchAccuracy_x,touchAccuracy_y
163323.0,2017-06-26 15:25:35,touch.down,190,True,True,9,Spell,190,Normal,11,420.5,222.0,1.0,170.705155165273,15.5,170.0,42.5,30.0,45.0,51.81818,0.0,405.0,392.0,7.5,5.0,-0.0306122448979592,0.214285714285714,-0.14285714285714302
163325.0,2017-06-26 15:25:36,touch.down,190,False,False,9,Spell,190,Normal,11,410.0,497.0,0.0,207.13823886477402,26.0,205.5,0.0,0.0,0.0,0.0,0.0,436.0,702.5,188.0,59.0,-9.054693877551019,5.371428571428571,-1.6857142857142902
163391.0,2017-06-26 15:26:15,touch.down,190,True,True,9,Spell,190,Normal,11,220.0,539.5,1.0,191.460178627306,111.0,156.0,33.0,18.5,47.727270000000004,43.18182,39.0,331.0,695.5,2.0,16.5,0.0269387755102041,-0.0571428571428571,-0.47142857142857103
163393.0,2017-06-26 15:26:16,touch.down,190,True,True,9,Spell,190,Normal,11,469.5,588.0,0.0,106.737996983267,28.0,103.0,43.5,31.0,33.18182,70.45454000000001,0.0,441.5,691.0,8.5,4.0,-0.0277551020408163,0.24285714285714302,-0.11428571428571402
163395.0,2017-06-26 15:26:17,touch.down,190,True,True,9,Spell,190,Normal,11,828.0,459.0,0.0,337.81836835790904,255.5,221.0,33.0,30.0,5.4545449999999995,50.90909,1.0,572.5,680.0,2.0,5.0,0.00816326530612245,-0.0571428571428571,-0.14285714285714302
163397.0,2017-06-26 15:26:17,touch.down,190,True,True,9,Spell,190,Normal,11,422.5,187.0,1.0,559.30693719996,184.5,528.0,23.5,27.0,38.636359999999996,61.363640000000004,0.0,607.0,715.0,11.5,8.0,0.0751020408163265,-0.32857142857142896,-0.22857142857142898
163399.0,2017-06-26 15:26:21,touch.down,190,True,True,9,Spell,190,Normal,11,912.5,480.5,0.0,524.580308437135,483.5,203.5,44.5,34.5,6.818182000000001,50.0,3.0,429.0,684.0,9.5,0.5,-0.0038775510204081603,0.271428571428571,-0.0142857142857143
163401.0,2017-06-26 15:26:21,touch.down,190,True,True,9,Spell,190,Normal,11,853.5,294.5,1.0,521.912109459054,344.0,392.5,36.5,26.5,4.5454550000000005,56.818180000000005,0.0,509.5,687.0,1.5,8.5,-0.0104081632653061,0.0428571428571429,-0.24285714285714302
163403.0,2017-06-26 15:26:22,touch.down,190,True,True,9,Spell,190,Normal,11,625.5,534.5,0.0,184.32851108821998,11.0,184.0,27.5,34.5,26.363640000000004,77.72726999999999,0.0,614.5,718.5,7.5,0.5,0.00306122448979592,-0.214285714285714,-0.0142857142857143
163405.0,2017-06-26 15:26:25,touch.down,190,False,False,9,Spell,190,Normal,11,614.5,357.0,0.0,499.93024513425905,382.0,322.5,0.0,0.0,0.0,0.0,3.0,232.5,679.5,45.5,7.0,0.26,1.3,0.2
163407.0,2017-06-26 15:26:26,touch.down,190,True,True,9,Spell,190,Normal,11,592.0,339.0,0.0,502.518905117012,363.0,347.5,58.0,24.0,33.18182,58.181819999999995,1.0,229.0,686.5,23.0,11.0,-0.206530612244898,0.6571428571428571,-0.314285714285714
163409.0,2017-06-26 15:26:26,touch.down,190,True,True,9,Spell,190,Normal,11,191.0,520.0,1.0,207.35295994993697,97.5,183.0,37.0,35.0,55.0,75.45454000000001,0.0,288.5,703.0,2.0,0.0,0.0,0.0571428571428571,0.0
163411.0,2017-06-26 15:26:27,touch.down,190,True,True,9,Spell,190,Normal,11,444.5,510.5,0.0,171.642069435206,30.0,169.0,52.5,17.5,47.272729999999996,55.90909,0.0,414.5,679.5,17.5,17.5,-0.25,0.5,-0.5
163413.0,2017-06-26 15:26:27,touch.down,190,True,True,9,Spell,190,Normal,11,474.5,170.0,1.0,530.5480656830259,40.5,529.0,50.5,44.0,36.81818,78.63636,0.0,515.0,699.0,15.5,9.0,0.11387755102040802,0.4428571428571429,0.25714285714285695
163415.0,2017-06-26 15:26:28,touch.down,190,True,True,9,Spell,190,Normal,11,313.5,173.0,1.0,568.640703784033,251.5,510.0,21.5,21.0,38.18182,37.727270000000004,0.0,565.0,683.0,13.5,14.0,0.154285714285714,-0.38571428571428606,-0.4
163417.0,2017-06-26 15:26:29,touch.down,190,True,True,9,Spell,190,Normal,11,78.5,359.5,0.0,643.262388143439,544.5,342.5,23.5,40.5,38.18182,39.54546,0.0,623.0,702.0,11.5,5.5,-0.0516326530612245,-0.32857142857142896,0.157142857142857
163421.0,2017-06-26 15:26:30,touch.down,190,True,True,9,Spell,190,Normal,11,70.5,332.0,1.0,693.9850502712579,597.5,353.0,15.5,13.0,44.09091,30.909090000000003,0.0,668.0,685.0,19.5,22.0,0.35020408163265304,-0.557142857142857,-0.628571428571429
163423.0,2017-06-26 15:26:31,touch.down,190,True,True,9,Spell,190,Normal,11,962.5,461.5,0.0,260.177823805181,131.5,224.5,47.5,23.5,26.363640000000004,54.54546,0.0,831.0,686.0,12.5,11.5,-0.11734693877550999,0.3571428571428571,-0.32857142857142896
163331.0,2017-06-26 15:25:37,touch.down,190,False,False,9,Spell,190,Normal,11,538.5,469.0,0.0,292.072336930426,6.5,292.0,0.0,0.0,0.0,0.0,28.0,532.0,761.0,14.0,130.0,-1.4857142857142902,-0.4,3.71428571428571
163333.0,2017-06-26 15:25:38,touch.down,190,True,True,9,Spell,190,Normal,11,557.5,318.5,0.0,382.638863682193,29.5,381.5,40.0,14.5,46.81818,47.727270000000004,1.0,528.0,700.0,5.0,20.5,-0.0836734693877551,0.14285714285714302,-0.5857142857142861
163335.0,2017-06-26 15:25:39,touch.down,190,True,True,9,Spell,190,Normal,11,803.5,460.5,0.0,278.043611687088,154.0,231.5,39.5,41.5,17.72727,63.636359999999996,1.0,649.5,692.0,4.5,6.5,0.0238775510204082,0.128571428571429,0.185714285714286
163337.0,2017-06-26 15:25:42,touch.down,190,True,True,9,Spell,190,Normal,11,555.5,202.0,0.0,579.155419555062,315.0,486.0,53.5,33.0,21.818179999999998,61.818180000000005,3.0,240.5,688.0,18.5,2.0,-0.0302040816326531,0.5285714285714289,-0.0571428571428571
163339.0,2017-06-26 15:25:43,touch.down,190,True,True,9,Spell,190,Normal,11,985.0,479.5,1.0,657.541633662843,620.0,219.0,61.0,45.5,31.363640000000004,49.54546,1.0,365.0,698.5,26.0,10.5,0.22285714285714303,0.742857142857143,0.3
163341.0,2017-06-26 15:25:44,touch.down,190,True,True,9,Spell,190,Normal,11,119.5,574.5,1.0,315.901883501824,295.0,113.0,39.5,31.5,75.45454000000001,50.90909,0.0,414.5,687.5,4.5,3.5,-0.0128571428571429,0.128571428571429,-0.1
163343.0,2017-06-26 15:25:45,touch.down,190,True,True,9,Spell,190,Normal,11,470.5,387.5,0.0,282.86480869843103,43.5,279.5,48.5,3.5,53.181819999999995,40.45454,0.0,514.0,667.0,13.5,31.5,-0.34714285714285703,0.38571428571428606,-0.9
